City alias,State short,State full,County,City,,site,ZIPCode,County,State,Lat,Long
Aliq,PA,Pennsylvania,BEAVER,Aliquippa,,Avalon,15202,Allegheny,PA,,
Mac Arthur,PA,Pennsylvania,BEAVER,Aliquippa,,Clairton,,,,,
Macarthur,PA,Pennsylvania,BEAVER,Aliquippa,,Flag Plaza,,,,,
W Aliquippa,PA,Pennsylvania,BEAVER,Aliquippa,,Glassport High Street,,,,,
West Aliquippa,PA,Pennsylvania,BEAVER,Aliquippa,,Harrison Township,,,,,
Aliquippa,PA,Pennsylvania,BEAVER,Aliquippa,,Lawrenceville,,,,,
Ambridge,PA,Pennsylvania,BEAVER,Ambridge,,Lawrenceville 2,,,,,
Fair Oaks,PA,Pennsylvania,BEAVER,Ambridge,,Liberty,,,,,
Atlasburg,PA,Pennsylvania,WASHINGTON,Atlasburg,,Liberty 2,,,,,
Baden,PA,Pennsylvania,BEAVER,Baden,,Lincoln,,,,,
Bairdford,PA,Pennsylvania,ALLEGHENY,Bairdford,,North Braddock,,,,,
Bakerstown,PA,Pennsylvania,ALLEGHENY,Bakerstown,,Parkway East,,,,,
Beaver,PA,Pennsylvania,BEAVER,Beaver,,Parkway East (Near Road),,,,,
Vanport,PA,Pennsylvania,BEAVER,Beaver,,South Fayette,,,,,
W Bridgewater,PA,Pennsylvania,BEAVER,Beaver,,West Mifflin,,,,,
West Bridgewater,PA,Pennsylvania,BEAVER,Beaver,,,,,,,
Beaver Falls,PA,Pennsylvania,BEAVER,Beaver Falls,,,,,,,
Patterson Heights,PA,Pennsylvania,BEAVER,Beaver Falls,,,,,,,
Racine,PA,Pennsylvania,BEAVER,Beaver Falls,,,,,,,
Patterson Hts,PA,Pennsylvania,BEAVER,Beaver Falls,,,,,,,
North Belle Vernon,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
Belle Vrn Br,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
N Belle Vernon,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
Belle Vernon,PA,Pennsylvania,FAYETTE,Belle Vernon,,,,,,,
