site,latitude,longitude,so2_yearly_avg,
Lawrenceville,40.46542,-79.960757,0.0004845333,
Liberty,40.323768,-79.868062,0.0033280000,
Lincoln,40.308219,-79.869134,N/A,
Glassport,40.326008,-79.881703,N/A,
North Braddock,40.402328,-79.860973,0.0015786667,
Harrison,40.617488,-79.727664,N/A,
South Fayette,40.375644,-80.169943,0.0001920000,
Clairton,40.294341,-79.885331,0.0006825939,
Avalon,40.499767,-80.071337,0.0000186667,
Flag Plaza,40.443367,-79.990293,N/A,
Manchester,40.456427,-80.02674,N/A,
North Park,40.606624,-80.021669,N/A,
Parkway East,40.43743,-79.863572,N/A,
West Mifflin,40.3629,-79.86506,0.0004163823,
